School_name,city,zipcode,elementary_school,intermediate_school,middle_school,high_school,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
Sunrise Middle School,Scottsdale,85254,0,0,1,0,4,0,433,19,4.39,160,36.95,10,10.0,200,46.19,26,6.0,18,4.16,10,10.0,19.69,8.84,0.0,20.1,99.53,0.0,145.0,15.0,0.0, 1735.60, 9105.80, 115.19, 1197.64, 12154.22,1,1,1,1,1
Sunrise Mountain High School,Peoria,85382,0,0,1,1,5,0,2018,60,2.97,392,19.43,10,10.0,1401,69.42,91,4.51,62,3.07,10,10.0,22.92,10.0,0.83,20.0,99.85,421.0,540.0,0.0,0.0, 249.11, 5927.79, 270.36, 1023.01, 7470.27,0,0,0,0,0
Sweetwater Community School,Phoenix,85032,1,1,1,1,3,0,188,10,10.0,98,52.13,10,10.0,67,35.64,10,10.0,10,10.0,0,0.0,2.84,6.32,10.05,23.1,82.13,0.0,187.0,8.0,0.0, 5989.32, 11558.50, 150.76, 881.85, 18580.42,1,1,1,1,1
Taylor Junior High School,Mesa,85204,0,0,1,0,4,1,995,46,4.62,603,60.6,25,2.51,284,28.54,21,2.11,10,10.0,10,10.0,12.31,8.84,0.0,20.1,97.16,0.0,491.0,53.0,1.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Tempe High School,Tempe,85281,0,0,0,1,4,1,1582,191,12.07,1131,71.49,58,3.67,110,6.95,43,2.72,17,1.07,32,2.02,15.41,10.0,3.91,17.1,96.79,25.0,942.0,37.0,0.0, 446.34, 8027.95, 204.13, 461.04, 9139.46,0,0,0,0,0
Tempe Preparatory Academy,Tempe,85283,0,0,1,1,5,0,443,10,10.0,122,27.54,10,10.0,237,53.5,39,8.8,31,7.0,10,10.0,27.79,10.0,0.0,20.0,99.3,0.0,11.0,0.0,1.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Thunderbird High School,Phoenix,85023,0,0,0,1,5,1,1540,117,7.6,676,43.9,45,2.92,594,38.57,65,4.22,10,10.0,10,10.0,21.89,10.0,0.63,19.8,99.0,248.0,773.0,15.0,0.0, 1303.50, 8448.00, 293.79, 1102.91, 11148.20,0,0,0,0,0
Tolleson Union High School,Tolleson,85353,0,0,0,1,4,1,2256,214,9.49,1861,82.49,10,10.0,78,3.46,39,1.73,29,1.28,10,10.0,12.82,10.0,2.4,16.6,97.06,1527.0,1171.0,63.0,0.0, 888.07, 8067.77, 115.40, 893.41, 9964.65,0,0,0,0,0
Tonopah Valley High School,Tonopah,85354,0,0,1,1,4,1,864,47,5.44,502,58.1,13,1.5,278,32.18,17,1.97,10,10.0,10,10.0,11.23,10.0,1.57,18.4,99.52,37.0,206.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Trevor Browne High School,Phoenix,85033,0,0,0,1,3,1,2921,136,4.66,2653,90.83,26,0.89,68,2.33,16,0.55,10,10.0,10,10.0,9.45,9.83,6.45,14.1,97.36,270.0,1187.0,29.0,3.0, 465.08, 7452.36, 116.27, 133.33, 8167.05,1,1,1,1,1
Valley Preparatory Academy,Tempe,85282,0,0,0,1,4,1,24,10,10.0,10,10.0,0,0.0,13,54.17,0,0.0,0,0.0,0,0.0,15.46,8.84,34.88,20.1,80.0,0.0,26.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Valley Vista High School,Surprise,85374,0,0,1,1,5,0,2451,224,9.14,1176,47.98,10,10.0,839,34.23,150,6.12,31,1.26,10,10.0,18.75,10.0,2.36,15.3,99.5,314.0,1149.0,104.0,0.0, 470.76, 5761.27, 526.10, 1265.66, 8023.79,1,1,1,1,1
Verrado High School,Buckeye,85396,0,0,0,1,5,0,1854,108,5.83,863,46.55,10,10.0,755,40.72,76,4.1,36,1.94,10,10.0,18.98,10.0,2.01,17.1,98.84,626.0,500.0,40.0,3.0, 544.92, 7428.51, 81.62, 1011.76, 9066.81,0,0,0,0,0
Vista Grove Preparatory Academy Middle School,Mesa,85213,0,0,1,1,4,1,31,13,41.94,14,45.16,10,10.0,10,10.0,10,10.0,0,0.0,0,0.0,15.46,8.84,0.0,20.1,100.0,0.0,15.0,0.0,0.0, 4529.75, 7122.65, 4086.42, 6917.64, 22656.45,0,0,0,0,0
Vista Peak,Phoenix,85027,1,1,1,1,4,0,52,10,10.0,11,21.15,0,0.0,33,63.46,10,10.0,10,10.0,0,0.0,15.46,8.84,0.0,20.1,100.0,0.0,54.0,2.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Vista Verde Middle School,Phoenix,85032,0,0,1,0,3,1,545,59,10.83,306,56.15,18,3.3,125,22.94,23,4.22,10,10.0,10,10.0,9.88,8.84,0.0,20.1,100.0,0.0,316.0,48.0,0.0, 1268.09, 7469.24, 135.08, 1238.64, 10111.05,1,1,1,1,1
Washington High School,Phoenix,85021,0,0,0,1,4,1,1758,177,10.07,1160,65.98,63,3.58,196,11.15,10,10.0,110,6.26,10,10.0,15.0,10.0,1.25,20.0,99.15,309.0,899.0,58.0,0.0, 895.71, 7484.26, 235.98, 1163.17, 9779.12,0,0,0,0,0
West Phoenix High School,Phoenix,85019,0,0,0,1,4,1,418,18,4.31,376,89.95,10,10.0,11,2.63,10,10.0,10,10.0,10,10.0,2.97,5.96,21.99,35.0,88.43,0.0,510.0,3.0,0.0, 1659.40, 4374.15, 1311.49, 3820.65, 11165.69,1,1,1,1,1
Western School of Science and Technology,Phoenix,85033,0,0,1,1,4,1,522,10,10.0,509,97.51,10,10.0,10,10.0,0,0.0,0,0.0,0,0.0,7.39,10.0,0.98,19.4,100.0,74.0,326.0,0.0,3.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Westland School,Phoenix,85033,1,1,1,1,4,1,216,25,11.57,131,60.65,10,10.0,32,14.81,17,7.87,0,0.0,10,10.0,9.49,9.51,13.4,17.0,99.07,0.0,92.0,0.0,0.0, 338.07, 8620.50, 1529.86, 595.72, 11084.15,0,0,0,0,0
Westview High School,Avondale,85353,0,0,0,1,4,1,1864,220,11.8,1316,70.6,25,1.34,173,9.28,77,4.13,43,2.31,10,10.0,12.58,10.0,3.56,15.8,95.3,1768.0,1012.0,60.0,0.0, 939.37, 8993.21, 120.51, 910.15, 10963.24,0,0,0,0,0
Westwood High School,Mesa,85201,0,0,0,1,3,0,3571,214,5.99,2048,57.35,401,11.23,754,21.11,86,2.41,31,0.87,37,1.04,12.01,9.01,7.9,17.4,96.96,847.0,2043.0,51.0,1.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Wickenburg High School,Wickenburg,85390,0,0,1,1,3,1,474,11,2.32,199,41.98,10,10.0,249,52.53,10,10.0,10,10.0,0,0.0,21.2,9.45,4.38,19.4,91.77,36.0,234.0,24.0,3.0, 680.24, 5941.45, 428.32, 650.69, 7700.70,0,0,0,0,0
Wickenburg Virtual Academy,Wickenburg,85390,1,1,1,1,4,0,78,10,10.0,30,38.46,0,0.0,45,57.69,10,10.0,0,0.0,0,0.0,15.46,8.84,12.08,20.1,91.6,2.0,0.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Williams Field High School,Higley,85236,0,0,1,1,5,0,2115,165,7.8,490,23.17,24,1.14,1179,55.74,147,6.95,99,4.68,11,0.52,25.42,10.0,1.05,18.4,99.39,447.0,724.0,6.0,0.0, 589.04, 6206.66, 131.67, 1282.88, 8210.26,0,0,0,0,0
Willis Junior High School,Chandler,85225,0,0,1,0,4,1,858,48,5.59,495,57.69,10,10.0,228,26.57,34,3.96,33,3.85,10,10.0,16.12,8.84,0.0,20.1,99.89,0.0,478.0,27.0,0.0, 807.22, 7093.56, 141.18, 741.24, 8783.20,1,1,1,1,1
Willow Canyon High School,Surprise,85374,0,0,1,1,5,0,1787,137,7.67,575,32.18,20,1.12,878,49.13,120,6.71,46,2.57,11,0.62,19.96,10.0,0.37,17.8,99.83,459.0,625.0,64.0,0.0, 567.63, 7535.96, 541.30, 1460.76, 10105.66,1,1,1,1,1
Youngker High School,Buckeye,85326,0,0,0,1,5,1,2107,192,9.11,1372,65.12,19,0.9,456,21.64,44,2.09,10,10.0,10,10.0,16.25,10.0,2.68,17.1,99.8,139.0,641.0,46.0,8.0, 263.13, 4703.99, 5.26, 135.97, 5108.35,1,1,1,1,1
