School_name ,school_type,city ,zipcode,class_range, total_students ,student_teacher_ratio, nat_rank ,az_rank,female_students,female_students_percent,district_female_students,district_female_students_percent,male_students,male_students_percent,district_male_students,district_male_students_percent,white_students,white_students_percent,district_white_students,district_white_students_percent,hispanic_students,hispanic_students_percent,district_hispanic_students,district_hispanic_students_percent,asian_students,asian_students_percent,district_asian_students,district_asian_students_percent,two_or_moreR_students,two_or_moreR_students_percent,district_two_or_moreR_students,district_two_or_moreR_students_percent,black,black_percent,district_black,district_black_percent,pacific_islander,pacific_islander_percent,district_pacific_islander,district_pacific_islander_percent,american_indian,american_indian_percent,district_american_indian,district_american_indian_percent,lunch_assist_not_eligible,lunch_assist_not_eligible_percent,district_lunch_assist_not_eligible,district_lunch_assist_not_eligible_percent,lunch_assist_red_price,lunch_assist_red_price_percent,district_lunch_assist_red_price,district_lunch_assist_red_price_percent,lunch_assist_free,lunch_assist_free_percent,district_lunch_assist_free,district_lunch_assist_free_percent,nearby_schools_dict
Arizona Insight Academy,Public,Phoenix,85004,07 - 12,840,-1:1,"7,062nd out of 26,089",143rd out of 659,439,52%,"2,274",51%,401,48%,"2,201",49%,545,65%,"3,057",68%,170,20%,723,16%,49,6%,252,6%,47,6%,267,6%,22,3%,103,2%,4,0%,52,1%,3,0%,21,0%,382,(45%),"2,282",51%,305,(36%),"1,432",32%,153,(18%),761,17%,"{'Suns-Diamondbacks Education Academy': '1 miles', 'North High School': '1 miles', 'St Marys High School': '1 miles', 'Franklin Police and Fire High School': '2 miles', 'Phoenix Union Bioscience High School': '2 miles', 'Brophy College Preparatory': '2 miles', 'Tumbleweed Transitional Learning Center': '2 miles', 'Phoenix Christian Preparatory School': '2 miles', 'Central High School': '2 miles', 'Metro Tech High School': '2 miles'}"
Arizona Lutheran Academy,Private,Phoenix,85041,09 - 12,189,12:1,"3,002nd out of 7,602",25th out of 74,104,55%,"6,238",52%,85,45%,"5,664",48%,107,57%,"7,422",65%,28,15%,"1,848",16%,22,12%,696,6%,18,10%,131,1%,12,6%,619,5%,2,1%,34,0%,0,0%,622,5%,,,,,,,,,,,,,"{'Cesar Chavez High School': '2 miles', 'Durango Transitional Learning Center': '3 miles', 'South Mountain High School': '4 miles', 'Betty Fairfax High School': '4 miles', 'Carl Hayden High School': '5 miles', '91st Psalm Christian School': '5 miles', 'Franklin Police and Fire High School': '6 miles', 'Phoenix Union Bioscience High School': '6 miles', 'St Marys High School': '7 miles', 'Suns-Diamondbacks Education Academy': '7 miles'}"
Arizona Preparatory Academy,Public,Phoenix,85037,09 - 12,123,-1:1,"19,568th out of 26,089",373rd out of 659,63,51%,88,50%,60,49%,88,50%,87,71%,120,68%,15,12%,24,14%,13,11%,21,12%,4,3%,4,2%,2,2%,4,2%,1,1%,2,1%,1,1%,1,1%,78,(63%),128,73%,42,(34%),45,26%,3,(2%),3,2%,"{'Westview High School': '1 miles', 'Copper Canyon High School': '3 miles', 'Sierra Linda High School': '4 miles', 'Tolleson Union High School': '4 miles', 'University High School': '4 miles', 'Raymond S. Kellis': '5 miles', 'Trevor Browne High School': '5 miles', 'Independence High School': '5 miles', 'Agua Fria High School': '5 miles', 'La Joya Community High School': '5 miles'}"
Arizona School for the Arts,Public,Phoenix,85004,05 - 12,832,-1:1,"7,143rd out of 26,089",145th out of 659,597,72%,597,72%,235,28%,235,28%,526,63%,526,63%,182,22%,182,22%,40,5%,40,5%,40,5%,40,5%,32,4%,32,4%,12,1%,12,1%,0,0%,0,0%,,,832,100%,,,0,0%,,,0,0%,"{'Phoenix Union Bioscience High School': '1 miles', 'St Marys High School': '1 miles', 'North High School': '2 miles', 'Suns-Diamondbacks Education Academy': '2 miles', 'Franklin Police and Fire High School': '2 miles', 'Xavier College Preparatory': '3 miles', 'Brophy College Preparatory': '3 miles', 'Phoenix Christian Preparatory School': '3 miles', 'Central High School': '3 miles', 'Tumbleweed Transitional Learning Center': '3 miles'}"
Arizona Virtual Academy,Public,Phoenix,85004,KG - 12,"3,635",-1:1,"86th out of 26,089",2nd out of 659,"1,835",50%,"2,274",51%,"1,800",50%,"2,201",49%,"2,512",69%,"3,057",68%,553,15%,723,16%,220,6%,267,6%,203,6%,252,6%,81,2%,103,2%,48,1%,52,1%,18,0%,21,0%,"1,900",(52%),"2,282",51%,"1,127",(31%),"1,432",32%,608,(17%),761,17%,"{'Suns-Diamondbacks Education Academy': '1 miles', 'North High School': '1 miles', 'St Marys High School': '1 miles', 'Franklin Police and Fire High School': '2 miles', 'Phoenix Union Bioscience High School': '2 miles', 'Brophy College Preparatory': '2 miles', 'Tumbleweed Transitional Learning Center': '2 miles', 'Phoenix Christian Preparatory School': '2 miles', 'Central High School': '2 miles', 'Metro Tech High School': '2 miles'}"
Aspc-Phoenix/Globe,Public,Phoenix,85009,12 - 12,1,-1:1,"25,948th out of 26,089",630th out of 659,1,100%,1,100%,0,0%,0,0%,1,100%,1,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,,1,100%,,,0,0%,,,0,0%,"{'Carl Hayden High School': '2 miles', 'Bostrom Alternative Center': '2 miles', 'Franklin Police and Fire High School': '3 miles', 'Phoenix Christian Preparatory School': '3 miles', 'Maryvale High School': '3 miles', 'Bourgade Catholic High School': '3 miles', 'Alhambra High School': '3 miles', 'Metro Tech High School': '3 miles', 'Southwest Key Transitional Learning Center': '3 miles', 'West-Mec - Central Campus': '3 miles'}"
Asu Preparatory Academy- Phoenix Elementary,Public,Phoenix,85006,KG - 10,386,-1:1,Unranked,Unknown,197,51%,197,51%,189,49%,189,49%,286,74%,286,74%,43,11%,43,11%,32,8%,32,8%,10,3%,10,3%,8,2%,8,2%,6,2%,6,2%,1,0%,1,0%,224,(58%),224,58%,106,(27%),106,27%,56,(15%),56,15%,"{'Phoenix Union Bioscience High School': '1 miles', 'North High School': '2 miles', 'St Marys High School': '2 miles', 'Franklin Police and Fire High School': '2 miles', 'Suns-Diamondbacks Education Academy': '2 miles', 'Metro Tech High School': '3 miles', 'Xavier College Preparatory': '4 miles', 'Brophy College Preparatory': '4 miles', 'Phoenix Christian Preparatory School': '4 miles', 'South Mountain High School': '4 miles'}"
Asu Preparatory Academy- Phoenix High School,Public,Phoenix,85006,09 - 12,419,-1:1,"12,188th out of 26,089",221st out of 659,224,53%,224,53%,195,47%,195,47%,321,77%,321,77%,40,10%,40,10%,32,8%,32,8%,11,3%,11,3%,8,2%,8,2%,7,2%,7,2%,0,0%,0,0%,237,(57%),237,57%,129,(31%),129,31%,53,(13%),53,13%,"{'Phoenix Union Bioscience High School': '1 miles', 'North High School': '2 miles', 'St Marys High School': '2 miles', 'Franklin Police and Fire High School': '2 miles', 'Suns-Diamondbacks Education Academy': '2 miles', 'Metro Tech High School': '3 miles', 'Xavier College Preparatory': '4 miles', 'Brophy College Preparatory': '4 miles', 'Phoenix Christian Preparatory School': '4 miles', 'South Mountain High School': '4 miles'}"
Barry Goldwater High School,Public,Phoenix,85027,09 - 12,"1,875",22.2:1,"1,964th out of 26,089",66th out of 659,946,50%,"6,530",49%,929,50%,"6,824",51%,943,50%,"9,254",69%,687,37%,"2,547",19%,111,6%,496,4%,64,3%,518,4%,36,2%,384,3%,25,1%,114,1%,9,0%,41,0%,931,(50%),"9,929",74%,772,(41%),"2,700",20%,172,(9%),725,5%,"{'Deer Valley Middle School': '1 miles', 'Vista Peak': '2 miles', 'Arrowhead Christian Academy': '2 miles', 'Deer Valley High School': '4 miles', 'Desert Sky Middle School': '4 miles', 'Mountain Sky Middle School': '4 miles', 'Greenway High School': '4 miles', ""Sandra Day O'Connor High School"": '4 miles', 'Northwest Christian School': '4 miles', 'Desert Foothills Middle School': '5 miles'}"
Basis Ahwatukee,Public,Phoenix,85044,04 - 12,735,-1:1,"7,959th out of 26,089",160th out of 659,391,53%,391,53%,344,47%,344,47%,382,52%,382,52%,264,36%,264,36%,41,6%,41,6%,27,4%,27,4%,16,2%,16,2%,3,0%,3,0%,2,0%,2,0%,,,735,100%,,,0,0%,,,0,0%,"{'Compadre High School': '2 miles', 'Arizona Cultural Academy & College Prep': '2 miles', 'Desert Garden Montessori': '2 miles', 'Mountain Pointe High School': '3 miles', 'Valley Christian High School': '3 miles', 'Corona Del Sol High School': '4 miles', 'Chrysalis Academy Day School for Children with Aut': '4 miles', 'Marcos De Niza High School': '4 miles', 'Tempe High School': '5 miles', 'Mcclintock High School': '5 miles'}"
Basis Phoenix,Public,Phoenix,85028,05 - 12,758,-1:1,"7,748th out of 26,089",155th out of 659,399,53%,399,53%,359,47%,359,47%,432,57%,432,57%,254,34%,254,34%,47,6%,47,6%,16,2%,16,2%,8,1%,8,1%,1,0%,1,0%,0,0%,0,0%,,,758,100%,,,0,0%,,,0,0%,"{'Roadrunner School': '1 miles', 'Shadow Mountain High School': '1 miles', 'Paradise Valley Christian Preparatory': '1 miles', 'Shea Middle School': '1 miles', 'Sweetwater Community School': '2 miles', 'Greenway Middle School': '3 miles', 'Scottsdale Christian Academy': '3 miles', 'Sunrise Middle School': '3 miles', 'Pvonline': '3 miles', 'Paradise Valley High School': '4 miles'}"
Basis Phoenix Central Primary,Public,Phoenix,85012,KG - 12,793,-1:1,Unranked,Unknown,400,50%,400,50%,393,50%,393,50%,335,42%,335,42%,234,30%,234,30%,122,15%,122,15%,68,9%,68,9%,23,3%,23,3%,8,1%,8,1%,3,0%,3,0%,,,793,100%,,,0,0%,,,0,0%,"{'Central High School': '1 miles', 'Suns-Diamondbacks Education Academy': '1 miles', 'Xavier College Preparatory': '1 miles', 'Brophy College Preparatory': '1 miles', 'Tumbleweed Transitional Learning Center': '1 miles', 'Osborn Middle School': '2 miles', 'Metro Tech High School': '2 miles', 'North High School': '2 miles', 'St Marys High School': '2 miles', 'Phoenix Christian Preparatory School': '2 miles'}"
Bostrom Alternative Center,Public,Phoenix,85017,09 - 12,256,11.1:1,"15,802nd out of 26,089",274th out of 659,141,55%,"13,923",52%,115,45%,"13,090",48%,197,77%,"21,951",81%,33,13%,"2,312",9%,11,4%,"1,238",5%,11,4%,654,2%,4,2%,356,1%,0,0%,62,0%,0,0%,440,2%,230,(90%),"21,461",79%,15,(6%),"3,603",13%,11,(4%),"1,949",7%,"{'Southwest Key Transitional Learning Center': '1 miles', 'Metro Tech High School': '2 miles', 'Bourgade Catholic High School': '2 miles', 'Phoenix Christian Preparatory School': '2 miles', 'Tumbleweed Transitional Learning Center': '2 miles', 'Alhambra High School': '2 miles', 'Franklin Police and Fire High School': '3 miles', 'Osborn Middle School': '3 miles', 'Carl Hayden High School': '3 miles', 'Central High School': '3 miles'}"
Bourgade Catholic High School,Private,Phoenix,85017,09 - 12,390,14:1,"1,566th out of 7,602",13th out of 74,196,50%,"5,675",48%,194,50%,"6,260",52%,209,54%,"1,856",16%,109,28%,"7,443",65%,42,11%,623,5%,23,6%,699,6%,7,2%,619,5%,0,0%,34,0%,0,0%,131,1%,,,,,,,,,,,,,"{'Southwest Key Transitional Learning Center': '1 miles', 'Alhambra High School': '1 miles', 'Bostrom Alternative Center': '2 miles', 'High-Star Center for Children': '2 miles', 'Phoenix Christian Preparatory School': '2 miles', 'Valley Lutheran High School': '3 miles', 'Metro Tech High School': '3 miles', 'West-Mec - Central Campus': '3 miles', 'Osborn Middle School': '3 miles', 'Tumbleweed Transitional Learning Center': '3 miles'}"
Brophy College Preparatory,Private,Phoenix,85012,06 - 12,"1,391",15:1,"87th out of 7,602",2nd out of 74,"1,391",100%,"6,260",52%,0,0%,"5,675",48%,831,60%,"7,443",65%,245,18%,"1,856",16%,162,12%,623,5%,96,7%,699,6%,43,3%,619,5%,11,1%,131,1%,3,0%,34,0%,,,,,,,,,,,,,"{'Central High School': '1 miles', 'Osborn Middle School': '1 miles', 'Xavier College Preparatory': '1 miles', 'Valley Lutheran High School': '1 miles', 'Tumbleweed Transitional Learning Center': '2 miles', 'Suns-Diamondbacks Education Academy': '2 miles', 'North High School': '2 miles', 'Phoenix Christian Preparatory School': '2 miles', 'St Marys High School': '3 miles', 'Metro Tech High School': '3 miles'}"
Camelback High School,Public,Phoenix,85016,09 - 12,"2,152",18.7:1,"1,199th out of 26,089",42nd out of 659,"1,140",53%,"13,923",52%,"1,012",47%,"13,090",48%,"1,653",77%,"21,951",81%,172,8%,"1,238",5%,160,7%,"2,312",9%,90,4%,654,2%,41,2%,356,1%,28,1%,440,2%,8,0%,62,0%,"1,775",(82%),"21,461",79%,254,(12%),"3,603",13%,123,(6%),"1,949",7%,"{'Phoenix Country Day School': '2 miles', 'North High School': '3 miles', 'Brophy College Preparatory': '3 miles', 'Xavier College Preparatory': '3 miles', 'Arcadia High School': '3 miles', 'Central High School': '3 miles', 'Suns-Diamondbacks Education Academy': '3 miles', 'Osborn Middle School': '4 miles', 'Tumbleweed Transitional Learning Center': '4 miles', 'St Marys High School': '4 miles'}"
Career Success High School - Glendale,Public,Phoenix,85017,09 - 12,53,-1:1,"22,481st out of 26,089",469th out of 659,31,58%,185,52%,22,42%,172,48%,41,77%,254,71%,6,11%,30,8%,4,8%,55,15%,1,2%,11,3%,1,2%,7,2%,0,0%,0,0%,0,0%,0,0%,27,(51%),169,47%,26,(49%),159,45%,0,(0%),29,8%,"{'Bostrom Alternative Center': '1 miles', 'Southwest Key Transitional Learning Center': '1 miles', 'Phoenix Christian Preparatory School': '2 miles', 'Bourgade Catholic High School': '2 miles', 'Alhambra High School': '2 miles', 'Tumbleweed Transitional Learning Center': '2 miles', 'Metro Tech High School': '2 miles', 'Osborn Middle School': '3 miles', 'Franklin Police and Fire High School': '3 miles', 'Carl Hayden High School': '3 miles'}"
Career Success High School - Main Campus,Public,Phoenix,85017,09 - 12,185,-1:1,"17,688th out of 26,089",327th out of 659,107,58%,172,48%,78,42%,185,52%,153,83%,254,71%,18,10%,30,8%,9,5%,55,15%,3,2%,7,2%,2,1%,11,3%,0,0%,0,0%,0,0%,0,0%,114,(62%),169,47%,45,(24%),159,45%,26,(14%),29,8%,"{'Bostrom Alternative Center': '1 miles', 'Southwest Key Transitional Learning Center': '1 miles', 'Phoenix Christian Preparatory School': '2 miles', 'Bourgade Catholic High School': '2 miles', 'Alhambra High School': '2 miles', 'Tumbleweed Transitional Learning Center': '2 miles', 'Metro Tech High School': '2 miles', 'Osborn Middle School': '3 miles', 'Franklin Police and Fire High School': '3 miles', 'Carl Hayden High School': '3 miles'}"
Career Success Jr/Sr High School - North Phoenix,Public,Phoenix,85022,07 - 12,119,-1:1,"19,723rd out of 26,089",383rd out of 659,76,64%,185,52%,43,36%,172,48%,60,50%,254,71%,42,35%,55,15%,8,7%,11,3%,6,5%,30,8%,3,3%,7,2%,0,0%,0,0%,0,0%,0,0%,88,(74%),159,45%,28,(24%),169,47%,3,(3%),29,8%,"{'Vista Verde Middle School': '1 miles', 'Greenway Middle School': '2 miles', 'Pvonline': '2 miles', 'North Canyon High School': '2 miles', 'Paradise Valley High School': '3 miles', 'Mountain Sky Middle School': '3 miles', 'Roadrunner School': '4 miles', 'Scottsdale Christian Academy': '4 miles', 'Paradise Valley Christian Preparatory': '4 miles', 'Sunrise Middle School': '4 miles'}"
Carl Hayden High School,Public,Phoenix,85009,09 - 12,"2,108",18:1,"1,299th out of 26,089",44th out of 659,"1,099",52%,"13,923",52%,"1,009",48%,"13,090",48%,"1,999",95%,"21,951",81%,58,3%,"2,312",9%,30,1%,"1,238",5%,9,0%,654,2%,7,0%,356,1%,3,0%,440,2%,2,0%,62,0%,"1,792",(85%),"21,461",79%,190,(9%),"3,603",13%,126,(6%),"1,949",7%,"{'Durango Transitional Learning Center': '3 miles', 'Bostrom Alternative Center': '3 miles', 'Metro Tech High School': '3 miles', 'Franklin Police and Fire High School': '3 miles', 'Phoenix Union Bioscience High School': '4 miles', 'St Marys High School': '4 miles', 'Bourgade Catholic High School': '4 miles', 'Phoenix Christian Preparatory School': '4 miles', 'Tumbleweed Transitional Learning Center': '4 miles', 'Alhambra High School': '4 miles'}"
Central High School,Public,Phoenix,85012,09 - 12,"2,350",17.1:1,"847th out of 26,089",32nd out of 659,"1,269",54%,"13,923",52%,"1,081",46%,"13,090",48%,"1,692",72%,"21,951",81%,217,9%,"2,312",9%,161,7%,"1,238",5%,158,7%,654,2%,82,3%,440,2%,39,2%,356,1%,1,0%,62,0%,"2,028",(86%),"21,461",79%,236,(10%),"3,603",13%,86,(4%),"1,949",7%,"{'Osborn Middle School': '1 miles', 'Tumbleweed Transitional Learning Center': '1 miles', 'Valley Lutheran High School': '1 miles', 'Xavier College Preparatory': '1 miles', 'Brophy College Preparatory': '1 miles', 'Suns-Diamondbacks Education Academy': '2 miles', 'North High School': '2 miles', 'Phoenix Christian Preparatory School': '2 miles', 'St Marys High School': '2 miles', 'Southwest Key Transitional Learning Center': '3 miles'}"
Children First Academy - Phoenix,Public,Phoenix,85003,KG - 09,245,-1:1,Unranked,Unknown,128,52%,128,52%,117,48%,117,48%,136,56%,136,56%,55,22%,55,22%,22,9%,22,9%,20,8%,20,8%,10,4%,10,4%,2,1%,2,1%,0,0%,0,0%,206,(84%),206,84%,39,(16%),39,16%,0,(0%),0,0%,"{'Phoenix Union Bioscience High School': '1 miles', 'Franklin Police and Fire High School': '2 miles', 'St Marys High School': '2 miles', 'North High School': '3 miles', 'Suns-Diamondbacks Education Academy': '3 miles', 'Metro Tech High School': '3 miles', 'Phoenix Christian Preparatory School': '3 miles', 'Tumbleweed Transitional Learning Center': '3 miles', 'Carl Hayden High School': '3 miles', 'Durango Transitional Learning Center': '4 miles'}"
Cornerstone Charter School,Public,Phoenix,85021,09 - 12,138,-1:1,"19,081st out of 26,089",356th out of 659,78,57%,78,57%,60,43%,60,43%,78,57%,78,57%,30,22%,30,22%,12,9%,12,9%,11,8%,11,8%,7,5%,7,5%,0,0%,0,0%,0,0%,0,0%,135,(98%),135,98%,3,(2%),3,2%,0,(0%),0,0%,"{'Washington High School': '1 miles', 'Cortez High School': '2 miles', 'Palo Verde Middle School': '2 miles', 'Apollo High School': '3 miles', 'Accel': '3 miles', 'Bourgade Catholic High School': '3 miles', 'High-Star Center for Children': '3 miles', 'Valley Lutheran High School': '3 miles', 'Alhambra High School': '3 miles', 'Southwest Key Transitional Learning Center': '3 miles'}"
Cortez High School,Public,Phoenix,85051,09 - 12,"1,127",20.5:1,"5,210th out of 26,089",125th out of 659,579,51%,"7,831",51%,548,49%,"7,621",49%,632,56%,"8,564",55%,234,21%,"4,471",29%,119,11%,"1,311",8%,72,6%,487,3%,54,5%,388,3%,13,1%,204,1%,3,0%,27,0%,772,(69%),"8,649",56%,259,(23%),"5,699",37%,96,(9%),"1,104",7%,"{'Metrocenter Academy': '1 miles', 'Palo Verde Middle School': '2 miles', 'Accel': '2 miles', 'Moon Valley High School': '3 miles', 'Washington High School': '3 miles', 'Sunnyslope High School': '3 miles', 'Apollo High School': '3 miles', 'Thunderbird High School': '4 miles', 'Desert Foothills Middle School': '4 miles', 'High-Star Center for Children': '4 miles'}"
Crestview College Preparatory High School,Public,Phoenix,85032,07 - 12,250,-1:1,"15,937th out of 26,089",279th out of 659,144,58%,144,58%,106,42%,106,42%,186,74%,186,74%,38,15%,38,15%,10,4%,10,4%,10,4%,10,4%,4,2%,4,2%,1,0%,1,0%,1,0%,1,0%,206,(82%),206,82%,24,(10%),24,10%,20,(8%),20,8%,"{'Greenway Middle School': '1 miles', 'Pvonline': '1 miles', 'Vista Verde Middle School': '2 miles', 'Paradise Valley High School': '2 miles', 'Shea Middle School': '3 miles', 'Scottsdale Christian Academy': '3 miles', 'Paradise Valley Christian Preparatory': '3 miles', 'Shadow Mountain High School': '3 miles', 'Roadrunner School': '3 miles', 'Sweetwater Community School': '3 miles'}"
Crown Point High School,Public,Phoenix,85033,09 - 12,92,-1:1,"20,798th out of 26,089",419th out of 659,48,52%,48,52%,44,48%,44,48%,77,84%,77,84%,9,10%,9,10%,2,2%,2,2%,2,2%,2,2%,1,1%,1,1%,1,1%,1,1%,0,0%,0,0%,,,92,100%,,,0,0%,,,0,0%,"{'Maryvale High School': '1 miles', 'West-Mec - Central Campus': '2 miles', 'Trevor Browne High School': '2 miles', 'Alhambra High School': '4 miles', 'High-Star Center for Children': '4 miles', 'Copper Canyon High School': '4 miles', 'Glendale High School': '4 miles', 'Independence High School': '4 miles', 'Carl Hayden High School': '5 miles', 'Tolleson Union High School': '5 miles'}"
Cyber High School,Public,Phoenix,85020,09 - 12,53,-1:1,"22,481st out of 26,089",469th out of 659,28,53%,88,50%,25,47%,88,50%,33,62%,120,68%,9,17%,24,14%,8,15%,21,12%,2,4%,4,2%,1,2%,2,1%,0,0%,4,2%,0,0%,1,1%,50,(94%),128,73%,3,(6%),45,26%,0,(0%),3,2%,"{'Shea Middle School': '2 miles', 'Sunnyslope High School': '2 miles', 'Paradise Valley Christian Preparatory': '2 miles', 'Shadow Mountain High School': '2 miles', 'Roadrunner School': '3 miles', 'Thunderbird High School': '4 miles', 'Greenway Middle School': '4 miles', 'Pvonline': '4 miles', 'Sweetwater Community School': '4 miles', 'Mountain Sky Middle School': '4 miles'}"
Deer Valley Middle School,Public,Phoenix,85027,07 - 08,597,18.7:1,Unranked,Unknown,302,51%,"6,824",51%,295,49%,"6,530",49%,261,44%,"9,254",69%,259,43%,"2,547",19%,44,7%,496,4%,10,2%,384,3%,10,2%,114,1%,9,2%,518,4%,4,1%,41,0%,365,(61%),"2,700",20%,168,(28%),"9,929",74%,64,(11%),725,5%,"{'Barry Goldwater High School': '1 miles', 'Vista Peak': '2 miles', 'Arrowhead Christian Academy': '3 miles', ""Sandra Day O'Connor High School"": '3 miles', 'Deer Valley High School': '4 miles', 'Desert Sky Middle School': '4 miles', 'Mountain Sky Middle School': '4 miles', 'Northwest Christian School': '4 miles', 'Greenway High School': '5 miles', 'Desert Foothills Middle School': '5 miles'}"
Desert Foothills Middle School,Public,Phoenix,85053,07 - 08,693,24:1,Unranked,Unknown,368,53%,"1,280",53%,325,47%,"1,154",47%,337,49%,863,35%,254,37%,"1,180",48%,35,5%,170,7%,22,3%,63,3%,22,3%,75,3%,20,3%,75,3%,3,0%,8,0%,693,(100%),"2,088",86%,0,(0%),45,2%,0,(0%),301,12%,"{'Greenway High School': '1 miles', 'Moon Valley High School': '2 miles', 'Gary K. Herberger Young Scholars Academy': '2 miles', 'Northwest Christian School': '2 miles', 'Thunderbird High School': '2 miles', 'Mountain Sky Middle School': '3 miles', 'Accel': '3 miles', 'Desert Sky Middle School': '4 miles', 'Metrocenter Academy': '4 miles', 'Deer Valley High School': '4 miles'}"
Desert Garden Montessori,Private,Phoenix,85044,PK - 10,268,5:1,"2,297th out of 7,602",22nd out of 74,138,51%,"7,034",54%,130,49%,"6,059",46%,92,64%,"8,134",65%,27,19%,629,5%,9,6%,"2,209",18%,6,4%,43,0%,3,2%,652,5%,3,2%,743,6%,3,2%,137,1%,,,,,,,,,,,,,"{'Valley Christian High School': '2 miles', 'Mountain Pointe High School': '2 miles', 'Corona Del Sol High School': '3 miles', 'Compadre High School': '3 miles', 'Arizona Cultural Academy & College Prep': '3 miles', 'Desert Vista High School': '4 miles', 'Marcos De Niza High School': '4 miles', 'Chrysalis Academy Day School for Children with Aut': '4 miles', '91st Psalm Christian School': '5 miles', 'Tempe High School': '6 miles'}"
Desert Marigold School,Public,Phoenix,85042,KG - 12,326,-1:1,"14,142nd out of 26,089",254th out of 659,170,52%,170,52%,156,48%,156,48%,234,72%,234,72%,47,14%,47,14%,22,7%,22,7%,11,3%,11,3%,7,2%,7,2%,5,2%,5,2%,0,0%,0,0%,308,(94%),308,94%,13,(4%),13,4%,5,(2%),5,2%,"{'91st Psalm Christian School': '2 miles', 'Arizona Cultural Academy & College Prep': '3 miles', 'South Mountain High School': '3 miles', 'Mountain Pointe High School': '5 miles', 'Compadre High School': '5 miles', 'Desert Garden Montessori': '5 miles', 'Tempe High School': '5 miles', 'Chrysalis Academy Day School for Children with Aut': '6 miles', 'Phoenix Union Bioscience High School': '6 miles', 'Arizona Lutheran Academy': '6 miles'}"
Desert Vista High School,Public,Phoenix,85048,09 - 12,"3,046",24:1,"246th out of 26,089",12th out of 659,"1,528",50%,"6,895",49%,"1,518",50%,"7,096",51%,"1,898",62%,"5,752",41%,473,16%,"4,727",34%,261,9%,728,5%,205,7%,"1,568",11%,144,5%,549,4%,53,2%,585,4%,12,0%,82,1%,"3,031",(100%),"13,821",99%,12,(0%),135,1%,3,(0%),35,0%,"{'Mountain Pointe High School': '3 miles', 'Desert Garden Montessori': '4 miles', 'Valley Christian High School': '4 miles', 'Arizona Cultural Academy & College Prep': '6 miles', 'Corona Del Sol High School': '6 miles', '91st Psalm Christian School': '6 miles', 'Compadre High School': '7 miles', 'Marcos De Niza High School': '8 miles', 'South Mountain High School': '8 miles', 'Chrysalis Academy Day School for Children with Aut': '8 miles'}"
Desert Voices Oral Learning Center,Private,Phoenix,85028,UG - UG,24,5:1,Unranked,Unknown,20,83%,"6,090",48%,4,17%,"6,726",52%,22,92%,"8,153",66%,2,8%,"1,922",16%,0,0%,631,5%,0,0%,41,0%,0,0%,634,5%,0,0%,746,6%,0,0%,137,1%,,,,,,,,,,,,,"{'Roadrunner School': '1 miles', 'Shadow Mountain High School': '1 miles', 'Shea Middle School': '1 miles', 'Paradise Valley Christian Preparatory': '2 miles', 'Sweetwater Community School': '2 miles', 'Pvonline': '3 miles', 'Greenway Middle School': '3 miles', 'Scottsdale Christian Academy': '3 miles', 'Sunrise Middle School': '4 miles', 'Desert Shadows Middle School': '4 miles'}"
Durango Transitional Learning Center,Public,Phoenix,85009,03 - 12,82,16.4:1,"21,202nd out of 26,089",428th out of 659,67,82%,439,76%,15,18%,142,24%,33,40%,472,81%,29,35%,50,9%,16,20%,50,9%,2,2%,2,0%,1,1%,3,1%,1,1%,4,1%,0,0%,0,0%,79,(96%),547,94%,3,(4%),34,6%,0,(0%),0,0%,"{'Carl Hayden High School': '3 miles', 'Arizona Lutheran Academy': '3 miles', 'Cesar Chavez High School': '4 miles', 'Franklin Police and Fire High School': '4 miles', 'Metro Tech High School': '4 miles', 'Phoenix Union Bioscience High School': '4 miles', 'Phoenix Christian Preparatory School': '5 miles', 'St Marys High School': '5 miles', 'South Mountain High School': '5 miles', 'Bostrom Alternative Center': '5 miles'}"
E-Institute at Metro,Public,Phoenix,85051,09 - 12,111,-1:1,"20,045th out of 26,089",398th out of 659,70,63%,461,53%,41,37%,401,47%,75,68%,420,49%,14,13%,336,39%,8,7%,48,6%,8,7%,19,2%,3,3%,10,1%,2,2%,27,3%,1,1%,2,0%,56,(50%),296,34%,36,(32%),461,53%,19,(17%),105,12%,"{'Metrocenter Academy': '1 miles', 'Cortez High School': '1 miles', 'Accel': '2 miles', 'Palo Verde Middle School': '3 miles', 'Moon Valley High School': '3 miles', 'Sunnyslope High School': '3 miles', 'Apollo High School': '3 miles', 'Washington High School': '3 miles', 'High-Star Center for Children': '4 miles', 'Gary K. Herberger Young Scholars Academy': '4 miles'}"
E-Institute at Union Hills,Public,Phoenix,85308,09 - 12,176,-1:1,"17,938th out of 26,089",333rd out of 659,103,59%,461,53%,73,41%,401,47%,117,66%,336,39%,50,28%,420,49%,4,2%,27,3%,4,2%,48,6%,1,1%,19,2%,0,0%,2,0%,0,0%,10,1%,96,(55%),461,53%,41,(23%),296,34%,39,(22%),105,12%,"{'Arrowhead Christian Academy': '1 miles', 'Northwest Christian School': '2 miles', 'Barry Goldwater High School': '2 miles', 'Desert Sky Middle School': '3 miles', 'Deer Valley High School': '3 miles', 'Deer Valley Middle School': '3 miles', 'Greenway High School': '3 miles', 'Vista Peak': '3 miles', 'Desert Foothills Middle School': '3 miles', 'Mountain Sky Middle School': '4 miles'}"
