School_name ,school_type,city ,zipcode,class_range, total_students ,student_teacher_ratio, nat_rank ,az_rank,female_students,female_students_percent,district_female_students,district_female_students_percent,male_students,male_students_percent,district_male_students,district_male_students_percent,white_students,white_students_percent,district_white_students,district_white_students_percent,hispanic_students,hispanic_students_percent,district_hispanic_students,district_hispanic_students_percent,asian_students,asian_students_percent,district_asian_students,district_asian_students_percent,two_or_moreR_students,two_or_moreR_students_percent,district_two_or_moreR_students,district_two_or_moreR_students_percent,black,black_percent,district_black,district_black_percent,pacific_islander,pacific_islander_percent,district_pacific_islander,district_pacific_islander_percent,american_indian,american_indian_percent,district_american_indian,district_american_indian_percent,lunch_assist_not_eligible,lunch_assist_not_eligible_percent,district_lunch_assist_not_eligible,district_lunch_assist_not_eligible_percent,lunch_assist_red_price,lunch_assist_red_price_percent,district_lunch_assist_red_price,district_lunch_assist_red_price_percent,lunch_assist_free,lunch_assist_free_percent,district_lunch_assist_free,district_lunch_assist_free_percent,nearby_schools_dict
West-Mec - Independence High School,Public,Glendale,85303,09 - 12,,,Unranked,Unranked,,,183,43%,,,238,57%,,,10,2%,,,2,0%,,,182,43%,,,186,44%,,,29,7%,,,5,1%,,,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Independence High School': '1 miles', 'Glendale High School': '2 miles', 'Raymond S. Kellis': '3 miles', 'Copper Canyon High School': '3 miles', 'Peoria Flex Academy': '4 miles', 'Trevor Browne High School': '4 miles', 'Maryvale High School': '4 miles', 'Apollo High School': '4 miles', 'Peoria High School': '4 miles', 'High-Star Center for Children': '5 miles'}"
West-Mec - Ironwood High School,Public,Glendale,85304,09 - 12,19,-1:1,"24,366th out of 26,089",523rd out of 659,12,63%,183,43%,7,37%,238,57%,9,47%,182,43%,7,37%,186,44%,2,11%,5,1%,1,5%,29,7%,0,0%,10,2%,0,0%,2,0%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Ironwood High School': '1 miles', 'Cactus High School': '2 miles', 'Gary K. Herberger Young Scholars Academy': '2 miles', 'Centennial High School': '3 miles', 'Peoria Flex Academy': '3 miles', 'Deer Valley High School': '4 miles', 'Accel': '4 miles', 'Moon Valley High School': '4 miles', 'Northwest Christian School': '4 miles', 'Desert Foothills Middle School': '4 miles'}"
West-Mec - Mountain Ridge High School,Public,Glendale,85310,09 - 12,,,Unranked,Unranked,,,183,43%,,,238,57%,,,10,2%,,,2,0%,,,182,43%,,,186,44%,,,29,7%,,,5,1%,,,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Mountain Ridge High School': '1 miles', 'Hillcrest Middle School': '1 miles', 'Sunrise Mountain High School': '3 miles', 'Liberty High School': '4 miles', 'Arrowhead Christian Academy': '4 miles', 'Desert Sky Middle School': '4 miles', 'Deer Valley High School': '4 miles', ""Sandra Day O'Connor High School"": '5 miles', 'Cactus High School': '5 miles', 'Deer Valley Middle School': '5 miles'}"
West-Mec - Raymond S. Kellis,Public,Glendale,85308,07 - 12,15,-1:1,"24,657th out of 26,089",538th out of 659,9,60%,238,57%,6,40%,183,43%,6,40%,182,43%,6,40%,186,44%,1,7%,2,0%,1,7%,29,7%,1,7%,5,1%,0,0%,7,2%,0,0%,10,2%,,,421,100%,,,0,0%,,,0,0%,"{'Raymond S. Kellis': '1 miles', 'Independence High School': '3 miles', 'Copper Canyon High School': '3 miles', 'Peoria High School': '3 miles', 'Peoria Flex Academy': '3 miles', 'Glendale High School': '4 miles', 'Westview High School': '5 miles', 'Trevor Browne High School': '5 miles', 'Centennial High School': '6 miles', 'Ironwood High School': '6 miles'}"
West-Mec - Sandra Day O'Connor High School,Public,Glendale,85310,09 - 12,1,-1:1,"25,948th out of 26,089",630th out of 659,1,100%,183,43%,0,0%,238,57%,1,100%,182,43%,0,0%,10,2%,0,0%,2,0%,0,0%,186,44%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{""Sandra Day O'Connor High School"": '1 miles', 'Deer Valley Middle School': '3 miles', 'Arrowhead Christian Academy': '4 miles', 'Barry Goldwater High School': '4 miles', 'Mountain Ridge High School': '5 miles', 'Hillcrest Middle School': '5 miles', 'Deer Valley High School': '5 miles', 'Vista Peak': '5 miles', 'Northwest Christian School': '6 miles', 'Desert Sky Middle School': '6 miles'}"
Westland School Brighton Campus,Public,Glendale,85305,KG - 12,215,-1:1,"16,831st out of 26,089",297th out of 659,118,55%,277,55%,97,45%,227,45%,138,64%,294,58%,32,15%,101,20%,31,14%,75,15%,9,4%,25,5%,4,2%,4,1%,1,0%,3,1%,0,0%,2,0%,150,(70%),370,73%,42,(20%),92,18%,23,(11%),42,8%,"{'Raymond S. Kellis': '1 miles', 'Independence High School': '2 miles', 'Peoria Flex Academy': '3 miles', 'Peoria High School': '3 miles', 'Copper Canyon High School': '3 miles', 'Glendale High School': '4 miles', 'Centennial High School': '5 miles', 'Ironwood High School': '5 miles', 'Trevor Browne High School': '5 miles', 'High-Star Center for Children': '6 miles'}"
Aspc-Perryville,Public,Goodyear,85338,UG - UG,,,Unranked,Unranked,,,1,100%,,,0,0%,,,0,0%,,,0,0%,,,1,100%,,,0,0%,,,0,0%,,,0,0%,,,0,0%,,,1,100%,,,0,0%,,,0,0%,"{'Desert Edge High School': '3 miles', 'Verrado High School': '6 miles', 'Agua Fria High School': '6 miles', 'Millennium High School': '6 miles', 'Estrella Foothills High School': '8 miles', 'Youngker High School': '8 miles', 'La Joya Community High School': '8 miles', 'Buckeye Union High School': '9 miles', 'Westview High School': '10 miles', 'Sierra Linda High School': '11 miles'}"
Desert Edge High School,Public,Goodyear,85338,09 - 12,"1,774",21.3:1,"2,302nd out of 26,089",81st out of 659,934,53%,"3,889",51%,840,47%,"3,728",49%,889,50%,"3,507",46%,507,29%,"2,752",36%,238,13%,752,10%,70,4%,255,3%,43,2%,253,3%,22,1%,64,1%,5,0%,34,0%,"1,264",(71%),"6,169",81%,372,(21%),"1,079",14%,138,(8%),369,5%,"{'Agua Fria High School': '4 miles', 'Millennium High School': '5 miles', 'La Joya Community High School': '6 miles', 'Verrado High School': '7 miles', 'Westview High School': '8 miles', 'Sierra Linda High School': '8 miles', 'Estrella Foothills High School': '8 miles', 'University High School': '8 miles', 'Tolleson Union High School': '8 miles', 'High-Star Center for Children': '16 miles'}"
Estrella Foothills High School,Public,Goodyear,85338,09 - 12,"1,029",23.4:1,"5,773rd out of 26,089",133rd out of 659,539,52%,"1,978",50%,490,48%,"1,945",50%,531,52%,"1,453",37%,405,39%,"2,020",51%,51,5%,311,8%,20,2%,54,1%,13,1%,32,1%,7,1%,36,1%,2,0%,17,0%,904,(88%),"3,159",81%,87,(8%),597,15%,38,(4%),167,4%,"{'Desert Edge High School': '8 miles', 'Agua Fria High School': '10 miles', 'Buckeye Union High School': '10 miles', 'La Joya Community High School': '10 miles', 'Youngker High School': '11 miles', 'Millennium High School': '12 miles', 'Verrado High School': '13 miles', 'Sierra Linda High School': '13 miles', 'University High School': '13 miles', 'Arizona Lutheran Academy': '19 miles'}"
Great Hearts Academies - Archway Trivium West,Public,Goodyear,85395,KG - 12,545,-1:1,Unranked,Unknown,282,52%,282,52%,263,48%,263,48%,298,55%,298,55%,142,26%,142,26%,40,7%,40,7%,34,6%,34,6%,26,5%,26,5%,3,1%,3,1%,2,0%,2,0%,,,545,100%,,,0,0%,,,0,0%,"{'Millennium High School': '2 miles', 'Desert Edge High School': '3 miles', 'Agua Fria High School': '3 miles', 'La Joya Community High School': '5 miles', 'Westview High School': '5 miles', 'Sierra Linda High School': '7 miles', 'University High School': '7 miles', 'Tolleson Union High School': '7 miles', 'Verrado High School': '7 miles', 'Copper Canyon High School': '8 miles'}"
Great Hearts Academies - Trivium Prep,Public,Goodyear,85395,06 - 11,459,-1:1,"11,446th out of 26,089",208th out of 659,246,54%,246,54%,213,46%,213,46%,239,52%,239,52%,124,27%,124,27%,44,10%,44,10%,26,6%,26,6%,24,5%,24,5%,2,0%,2,0%,0,0%,0,0%,,,459,100%,,,0,0%,,,0,0%,"{'Desert Edge High School': '2 miles', 'Millennium High School': '4 miles', 'Agua Fria High School': '4 miles', 'Verrado High School': '6 miles', 'La Joya Community High School': '7 miles', 'Westview High School': '8 miles', 'Sierra Linda High School': '9 miles', 'University High School': '9 miles', 'Tolleson Union High School': '9 miles', 'Estrella Foothills High School': '9 miles'}"
Millennium High School,Public,Goodyear,85395,09 - 12,"2,202",23:1,"1,100th out of 26,089",38th out of 659,"1,143",52%,"3,889",51%,"1,059",48%,"3,728",49%,926,42%,"2,752",36%,805,37%,"3,507",46%,215,10%,752,10%,138,6%,253,3%,82,4%,255,3%,20,1%,64,1%,16,1%,34,0%,"1,954",(89%),"6,169",81%,169,(8%),"1,079",14%,79,(4%),369,5%,"{'Desert Edge High School': '5 miles', 'Agua Fria High School': '5 miles', 'Westview High School': '5 miles', 'La Joya Community High School': '7 miles', 'Verrado High School': '7 miles', 'Sierra Linda High School': '7 miles', 'Dysart High School': '7 miles', 'Copper Canyon High School': '8 miles', 'University High School': '8 miles', 'High-Star Center for Children': '14 miles'}"
West-Mec - Desert Edge High School,Public,Goodyear,85338,09 - 12,2,-1:1,"25,823rd out of 26,089",609th out of 659,2,100%,183,43%,0,0%,238,57%,1,50%,182,43%,1,50%,186,44%,0,0%,10,2%,0,0%,2,0%,0,0%,29,7%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Desert Edge High School': '1 miles', 'Agua Fria High School': '4 miles', 'Millennium High School': '5 miles', 'La Joya Community High School': '6 miles', 'Verrado High School': '7 miles', 'Westview High School': '8 miles', 'Sierra Linda High School': '8 miles', 'Estrella Foothills High School': '8 miles', 'University High School': '8 miles', 'Tolleson Union High School': '8 miles'}"
West-Mec - Estrella Foothills High School,Public,Goodyear,85338,09 - 12,16,-1:1,"24,575th out of 26,089",533rd out of 659,9,56%,238,57%,7,44%,183,43%,13,81%,182,43%,2,13%,186,44%,1,6%,7,2%,0,0%,10,2%,0,0%,2,0%,0,0%,29,7%,0,0%,5,1%,,,421,100%,,,0,0%,,,0,0%,"{'Estrella Foothills High School': '1 miles', 'Desert Edge High School': '8 miles', 'Agua Fria High School': '10 miles', 'La Joya Community High School': '10 miles', 'Buckeye Union High School': '10 miles', 'Youngker High School': '11 miles', 'Millennium High School': '12 miles', 'University High School': '13 miles', 'Verrado High School': '13 miles', 'Sierra Linda High School': '13 miles'}"
West-Mec - Millennium High School,Public,Goodyear,85338,07 - 12,,,Unranked,Unranked,,,183,43%,,,238,57%,,,10,2%,,,2,0%,,,182,43%,,,186,44%,,,29,7%,,,5,1%,,,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Millennium High School': '1 miles', 'Desert Edge High School': '5 miles', 'Agua Fria High School': '5 miles', 'Westview High School': '5 miles', 'La Joya Community High School': '7 miles', 'Verrado High School': '7 miles', 'Sierra Linda High School': '7 miles', 'Dysart High School': '7 miles', 'Copper Canyon High School': '8 miles', 'University High School': '8 miles'}"
